Invalid Ballots in Florida Doubled in 2008;-72.81;-57.3;nocebo
Illinois governor Blagojevich removed from office;-63.45;-54.32;nocebo
Magnitude 6.5 earthquake rocks the Solomon Islands;-82.99;-73.16;nocebo
23 Reasons Luke Cage Is The Marvel Bae We've Been Waiting For;-98.93;-122.95;cebo
21 Times George Costanza Was Actually A Twentysomething;-65.05;-73.37;cebo
Margaret Thatcher suffering from dementia says daughter;-73.91;-63.64;nocebo
Can You Get A Perfect Score On This Ron And Hermione Quiz;-81.35;-111.93;cebo
Australians enjoy second lunar eclipse for 2007;-73.91;-64.54;nocebo
British army bomb disposal expert killed in Afghanistan;-82.3;-61.23;nocebo
13 arrested in Rhys Jones murder investigation;-72.81;-57.86;nocebo
Which EXO GIF Are You Based On Your Zodiac Sign;-63.28;-93.46;cebo
Indiana State Fair stage collapse kills four injures forty;-92.64;-78.05;nocebo
In Ecuador Resentment Oozes Long After an Oil Company Departs;-92.98;-87.63;nocebo
18 Pictures That Perfectly Sum Up Not Knowing What To Eat;-79.05;-103.45;cebo
A Recession That Is Already Setting Records;-54.71;-58.31;cebo
Shaky Pakistan Is Seen as Target of Qaeda Plots;-84.07;-73.6;nocebo
TESEV Report on Eastern Turkey for UNDP released;-82.18;-64.54;nocebo
Qantas ordered to check oxygen cylinders;-63.45;-55.08;nocebo
Bomb attack in Londonderry Northern Ireland injures two police officers;-104.2;-78.76;nocebo
"11 Times Constance Wu From ""Fresh Off The Boat"" Had The Best Response To Life";-112.16;-136.06;cebo
Meet Blindy The Inspirational Blind Penguin Who Is Looking For A New Home;-93.34;-110.48;cebo
Kazakhstan gets hit with bird flu;-63.45;-50.89;nocebo
Non-profit ACORN plans to shut down;-73.22;-61.43;nocebo
Here Are 8 Totally Different Ways To Relieve Stress;-68.98;-86.53;cebo
"How Well Do You Speak ""Parent""";-41.11;-59.14;cebo
Hurricane Humberto messes with forecasters and Texas;-72.53;-59.83;nocebo
A Bunch Of Women Wore Pants To The Emmys And It Was Perfect;-84.27;-120.64;cebo
Canada's Health Minister will attempt to stop Americans from buying prescription drugs in bulk;-145.88;-117.56;nocebo
European football: Tottenham defeats Celtic 2 - 0;-73.22;-66.62;nocebo
15 Ginger Desserts To Make Just In Time For Christmas;-69.19;-90.95;cebo
U.S. magazine TV Guide to drop local editions in makeover;-107.92;-87.42;nocebo
"There's A New Hairstyle Called The ""Hun"" And It's Taking Over";-87.1;-103.91;cebo
"How Well Do You Know ""Billy Madison""";-49.02;-68.79;cebo
Romania switches to Winter Time;-47.12;-42.26;nocebo
"If People Talked Like Cookie From ""Empire"" In Real Life";-70.09;-92.43;cebo
Asbestos victims file 6.6 billion yen class action lawsuit in Tokyo;-125.53;-111.89;nocebo
Cathay Pacific Cuts Costs as Air Travel Remains Sluggish;-91.84;-79.36;nocebo
Robin Cook dead after collapsing;-51.89;-43.28;nocebo
19 Genius Ways To Eat Dessert For Breakfast;-61.81;-79.53;cebo
No. 11 Syracuse Stays Unbeaten in Big East With Win Over Rutgers;-110.84;-98.27;nocebo
Which New Adele Song Are You;-36.13;-51.84;cebo
What Should You Name Your Emo Band;-44.57;-66.44;cebo
Tornado strikes London injuring six;-51.38;-44.78;nocebo
Show Us Your Colorful Tattoos;-37.97;-48.84;cebo
Large Hadron Collider restarted;-42.53;-40.67;nocebo
23 Nerdy Kids Who Will Restore Your Faith In The Future;-79.1;-99.42;cebo
Irish priest seized by gunmen in the Philippines;-82.99;-61.26;nocebo
17 Things You'll Understand If You're Slightly Obsessed With Singing In The Car;-97.95;-138.54;cebo
